Supply,Amount,Unit Price,Total Price,Artist Fee,Platform Fee
1189000.0,15400,7.864056,121900.991954,18285.148793099997,6095.0495977
1204500.0,15500,7.936491,123817.385822,18572.6078733,6190.8692911
1220100.0,15600,8.009113,125751.212265,18862.68183975,6287.56061325
1235800.0,15700,8.081923,127702.516228,19155.3774342,6385.1258114
1251600.0,15800,8.154919,129671.342486,19450.7013729,6483.5671243
1267500.0,15900,8.2281,131657.735641,19748.66034615,6582.886782050001
1283500.0,16000,8.301466,133661.740129,20049.26101935,6683.087006450001
1299600.0,16100,8.375016,135683.400216,20352.5100324,6784.1700108000005
1315800.0,16200,8.448749,137722.760002,20658.4140003,6886.1380001
1332100.0,16300,8.522666,139779.863427,20966.97951405,6988.993171350001
1348500.0,16400,8.596764,141854.754263,21278.21313945,7092.737713150001
1365000.0,16500,8.671044,143947.476127,21592.12141905,7197.37380635
1381600.0,16600,8.745504,146058.072472,21908.710870799998,7302.9036236
1398300.0,16700,8.820145,148186.586596,22227.9879894,7409.329329800001
1415100.0,16800,8.894965,150333.06164,22549.959246,7516.653082000001
1432000.0,16900,8.969963,152497.54059,22874.6310885,7624.8770294999995
1449000.0,17000,9.04514,154680.06628,23202.009942,7734.0033140000005
1466100.0,17100,9.120495,156880.68139,23532.1022085,7844.034069500001
1483300.0,17200,9.196026,159099.428453,23864.91426795,7954.97142265
1500600.0,17300,9.271734,161336.34985,24200.4524775,8066.8174925
1518000.0,17400,9.347618,163591.487816,24538.7231724,8179.5743908
1535500.0,17500,9.423676,165864.884438,24879.7326657,8293.2442219
1553100.0,17600,9.49991,168156.581662,25223.4872493,8407.829083100001
1570800.0,17700,9.576317,170466.621286,25569.9931929,8523.3310643
1588600.0,17800,9.652897,172795.044968,25919.2567452,8639.7522484
1606500.0,17900,9.72965,175141.894226,26271.2841339,8757.0947113
1624500.0,18000,9.806575,177507.210436,26626.0815654,8875.3605218
1642600.0,18100,9.883672,179891.034838,26983.655225699997,8994.5517419
1660800.0,18200,9.96094,182293.408531,27344.01127965,9114.67042655
1679100.0,18300,10.038379,184714.372483,27707.155872450003,9235.71862415
1697500.0,18400,10.115987,187153.967523,28073.09512845,9357.69837615
1716000.0,18500,10.193765,189612.234349,28441.83515235,9480.611717450001
1734600.0,18600,10.271711,192089.213525,28813.38202875,9604.46067625
1753300.0,18700,10.349826,194584.945484,29187.741822599997,9729.2472742
1772100.0,18800,10.428108,197099.47053,29564.920579499998,9854.9735265
1791000.0,18900,10.506558,199632.828835,29944.92432525,9981.64144175
1810000.0,19000,10.585175,202185.060447,30327.75906705,10109.25302235
1829100.0,19100,10.663957,204756.205283,30713.430792449995,10237.81026415
1848300.0,19200,10.742905,207346.303138,31101.945470699997,10367.3151569
1867600.0,19300,10.822018,209955.393679,31493.30905185,10497.76968395
1887000.0,19400,10.901296,212583.51645,31887.527467499996,10629.175822500001
1906500.0,19500,10.980738,215230.710874,32284.6066311,10761.535543700002
1926100.0,19600,11.060344,217897.016251,32684.552437649996,10894.850812550001
1945800.0,19700,11.140112,220582.471759,33087.37076385,11029.123587950002
1965600.0,19800,11.220043,223287.116459,33493.06746885,11164.355822950001
1985500.0,19900,11.300136,226010.98929,33901.6483935,11300.5494645
2005500.0,20000,11.380391,228754.129077,34313.119361549994,11437.70645385
2025600.0,20100,11.460807,231516.574525,34727.48617875,11575.828726250002
2045800.0,20200,11.541384,234298.364224,35144.754633599994,11714.9182112
2066100.0,20300,11.622121,237099.536649,35564.93049735,11854.97683245
2086500.0,20400,11.703017,239920.130161,35988.01952415,11996.00650805
2107000.0,20500,11.784073,242760.183008,36414.027451199996,12138.009150400001
2127600.0,20600,11.865287,245619.733326,36842.9599989,12280.9866663
2148300.0,20700,11.94666,248498.819137,37274.82287055,12424.940956850001
2169100.0,20800,12.028191,251397.478356,37709.6217534,12569.873917800001
2190000.0,20900,12.109879,254315.748786,38147.3623179,12715.787439300002
2211000.0,21000,12.191723,257253.668121,38588.05021815,12862.68340605
2232100.0,21100,12.273725,260211.273949,39031.691092349996,13010.563697450001
2253300.0,21200,12.355882,263188.603749,39478.29056235,13159.430187450002
2274600.0,21300,12.438195,266185.694893,39927.85423395,13309.284744650002
2296000.0,21400,12.520664,269202.584648,40380.3876972,13460.129232400002
2317500.0,21500,12.603286,272239.310178,40835.8965267,13611.9655089
2339100.0,21600,12.686064,275295.908541,41294.38628114999,13764.79542705
2360800.0,21700,12.768995,278372.416692,41755.862503799995,13918.6208346
2382600.0,21800,12.852079,281468.871482,42220.330722299994,14073.4435741
2404500.0,21900,12.935317,284585.309664,42687.7964496,14229.2654832
